iter	RMSE
0	2215702.185
1	2176980.236
2	2136638.041
3	2108470.405
4	2073945.189
5	2040533.78
6	2013326.915
7	1980421.555
8	1946587.883
9	1915897.15
10	1885911.911
11	1856853.731
12	1830629.056
13	1806630.355
14	1782899.175
15	1759284.622
16	1734038.004
17	1708485.589
18	1688768.816
19	1664987.24
20	1645602.775
21	1626147.931
22	1605975.036
23	1590790.992
24	1571578.153
25	1551884.164
26	1532903.401
27	1513716.925
28	1493583.982
29	1477817.82
30	1462233.762
31	1444215.475
32	1428118.763
33	1410309.733
34	1394952.103
35	1381787.577
36	1367572.388
37	1354477.851
38	1341402.293
39	1328918.692
40	1317119.54
41	1305714.117
42	1292173.007
43	1278087.732
44	1265449.283
45	1252321.966
46	1241802.35
47	1228744.876
48	1217855.567
49	1208414.825
50	1199628.515
51	1189955.603
52	1181527.179
53	1173375.184
54	1164918.315
55	1155112.649
56	1145660.337
57	1136856.333
58	1128873.876
59	1120681.441
60	1112931.852
61	1104412.325
62	1097813.203
63	1090689.83
64	1081509.562
65	1075645.659
66	1068756.496
67	1062063.577
68	1054674.047
69	1048003.303
70	1042693.001
71	1034814.719
72	1030387.947
73	1025345.138
74	1021527.334
75	1015618.233
76	1010074.261
77	1003920.254
78	999236.6773
79	993973.0578
80	988322.3288
81	982187.9245
82	976360.3357
83	972029.4431
84	965930.0383
85	963057.9871
86	957793.0364
87	952225.3727
88	948051.5272
89	941526.028
90	936966.5076
91	932236.5001
92	927869.1278
93	924315.4714
94	920699.0372
95	916378.844
96	913710.7219
97	908442.3796
98	905094.6122
99	900634.9786
100	895637.1202
101	891801.4745
102	888394.9791
103	883413.6834
104	878375.6799
105	875506.6767
106	871171.9118
107	867902.7442
108	863371.5867
109	859993.4124
110	856067.5025
111	853373.1978
112	849903.9232
113	845113.0404
114	843316.3564
115	839764.1041
116	837897.1628
117	834086.9247
118	830821.758
119	827057.6436
120	823477.6986
121	818966.891
122	814890.2169
123	811708.937
124	808944.6887
125	804598.0268
126	803365.6179
127	800347.3475
128	797274.9991
129	794565.3454
130	790456.1699
131	788351.1179
132	784874.7347
133	783244.404
134	780971.6883
135	776358.8022
136	774543.8999
137	772054.4833
138	769466.8408
139	765978.1702
140	763488.5251
141	760971.9213
142	758377.2398
143	754424.5101
144	751031.7513
145	746906.5922
146	743846.4849
147	741778.5824
148	740087.192
149	737170.6396
150	735206.0465
151	732905.2317
152	729764.8678
153	727968.6142
154	725340.0866
155	724207.7187
156	722026.8939
157	718281.8438
158	716191.8772
159	712519.2873
160	711904.9865
161	709339.3604
162	707035.3913
163	705480.7152
164	703264.7414
165	701050.889
166	698862.7397
167	696925.9584
168	695362.1131
169	693467.1775
170	691389.9925
171	689632.5181
172	687124.0116
173	684578.3441
174	682091.1306
175	680833.1753
176	678917.326
177	677115.3658
178	675036.0716
179	672673.6067
180	670790.7262
181	669206.4661
182	667421.8676
183	665830.8848
184	662928.7074
185	660926.879
186	658823.689
187	656589.9623
188	655082.0615
189	653793.2886
190	652490.113
191	648815.1456
192	647111.6926
193	645094.4097
194	643664.6588
195	642119.8871
196	641757.7958
197	640698.5344
198	639661.7724
199	638451.4821
200	636096.2221
201	633672.5308
202	632430.2552
203	631799.9209
204	630879.4582
205	629248.0945
206	627643.0414
207	625828.5968
208	623947.1637
209	622539.3946
210	621838.7176
211	620248.2428
212	618859.8075
213	617510.9519
214	615396.8622
215	614740.9715
216	613233.6897
217	612038.1459
218	611320.6789
219	609931.1611
220	607196.4505
221	606230.5669
222	604607.4248
223	603395.2638
224	600823.3763
225	599268.984
226	596123.9878
227	594675.3331
228	593356.3498
229	591431.7381
230	590135.3134
231	589205.739
232	588134.3556
233	586394.0312
234	585252.8883
235	584290.5288
236	582576.1969
237	581108.3568
238	580227.0513
239	578877.1199
240	577795.7019
241	575937.0611
242	574671.4528
243	572766.9044
244	571941.7738
245	571436.3355
246	570436.5138
247	569508.9721
248	568448.6538
249	567225.202
250	564599.8243
251	562337.281
252	560683.5364
253	559927.7368
254	558809.8774
255	557153.0648
256	555897.2532
257	554506.3071
258	551915.1431
259	551225.0518
260	550380.9112
261	548304.836
262	546505.8857
263	545338.4165
264	544491.7679
265	543099.5641
266	542309.7641
267	540226.4863
268	538555.5801
269	537264.9919
270	536367.062
271	535758.0745
272	533388.7364
273	532645.7237
274	531205.0572
275	530524.6988
276	528821.2333
277	526499.8799
278	524443.8763
279	522619.4875
280	519962.2094
281	519098.1951
282	518396.7129
283	515869.2357
284	513764.0014
285	512243.4238
286	509727.9356
287	508234.7443
288	507187.0778
289	506525.1126
290	505516.4823
291	502916.6396
292	500912.9529
293	500101.0536
294	499021.696
295	497762.608
296	495462.6794
297	494678.6651
298	492412.662
299	489971.4072
300	489026.5874
301	488136.46
302	487416.8183
303	486297.3787
304	485302.0134
305	483777.1391
306	483239.7717
307	481526.6187
308	480602.9338
309	479525.5093
310	477430.207
311	477246.7699
312	475630.0191
313	473580.8637
314	472757.8414
315	471980.6243
316	470584.2716
317	469702.1335
318	468873.2402
319	467478.286
320	465811.9259
321	464981.6919
322	464247.7453
323	462662.2145
324	461871.6286
325	460821.6918
326	459534.2824
327	458835.4126
328	457058.1676
329	455798.0566
330	454587.8908
331	452529.4248
332	451265.9419
333	450411.1329
334	449590.8826
335	449161.2312
336	447382.9563
337	446092.6431
338	445405.0546
339	444743.3054
340	444106.3127
341	443367.6187
342	442890.6105
343	440844.5361
344	439747.4098
345	438836.3464
346	438023.9556
347	437631.874
348	437058.6143
349	436479.8879
350	435169.5274
351	433912.145
352	433181.3052
353	432433.1697
354	430862.1496
355	429428.017
356	427827.34
357	426505.4683
358	426311.751
359	424795.1997
360	422985.5528
361	422167.4946
362	421379.9335
363	420604.8
364	419184.6604
365	417174.76
366	415725.7613
367	414526.5867
368	413889.0658
369	412937.0792
370	411797.3395
371	411297.171
372	410644.6528
373	409276.8477
374	408168.0805
375	406969.4733
376	405670.2686
377	405172.1627
378	403635.1245
379	403261.4864
380	401805.7347
381	400413.5602
382	399146.2888
383	398409.0389
384	397894.5936
385	396395.6055
386	395864.6073
387	394954.8053
388	393931.7442
389	393274.6701
390	392764.4816
391	391126.6538
392	390005.4554
393	389212.1924
394	388033.4173
395	386761.1503
396	385186.9175
397	384484.8289
398	383690.0657
399	382493.5475
400	382204.5303
401	381355.5832
402	380570.4969
403	379513.4486
404	378840.0566
405	378450.3423
406	377338.6421
407	376580.5773
408	375998.7851
409	375794.8629
410	374288.3757
411	373711.9942
412	373093.6509
413	372371.3138
414	371461.4098
415	370039.5026
416	368975.6423
417	367631.7842
418	366197.0496
419	365139.5928
420	364280.0151
421	363406.1211
422	362417.0561
423	361362.6836
424	360442.6926
425	359187.9755
426	357774.1366
427	356506.0597
428	355594.8028
429	354779.7952
430	354581.8416
431	353708.1034
432	353112.5539
433	351873.1883
434	350888.5835
435	349663.0732
436	348364.8278
437	347807.5227
438	347722.3546
439	346745.8045
440	345900.9632
441	345445.8597
442	344678.213
443	343873.414
444	342560.2457
445	341407.6033
446	341192.3712
447	339833.4666
448	339622.69
449	338368.8292
450	337955.7364
451	337381.7429
452	336454.5681
453	335607.2587
454	334806.7464
455	334618.9224
456	333668.2058
457	333469.9753
458	332849.1829
459	332369.1617
460	332257.8137
461	331135.8516
462	330361.6694
463	329912.314
464	329044.6611
465	328040.0803
466	327579.3202
467	326491.1935
468	326300.5722
469	325060.2662
470	323929.2473
471	323009.2258
472	321863.0426
473	321505.5131
474	320801.3871
475	320349.3895
476	319481.7695
477	319285.7933
478	318807.7365
479	318631.298
480	317543.0514
481	316611.4183
482	315670.4211
483	315025.1794
484	314396.0661
485	314243.8046
486	313622.9311
487	312782.8889
488	312142.5344
489	311600.6655
490	311183.4661
491	311026.401
492	310484.9061
493	310312.1968
494	310167.7824
495	309974.1344
496	308924.5015
497	307927.161
498	307269.3906
499	306357.2184
500	305280.538
501	304547.3164
502	303785.0854
503	303014.5337
504	302670.725
505	302106.3304
506	301547.9768
507	301406.4933
508	301159.0701
509	300419.3554
510	299411.682
511	298406.227
512	297696.0159
513	297546.7631
514	296781.8764
515	296112.9438
516	295225.1287
517	294125.4247
518	293985.3651
519	293608.227
520	292785.9394
521	292656.8769
522	292351.7566
523	292226.6955
524	291062.9695
525	290009.6779
526	289234.1186
527	288652.7403
528	288297.9607
529	287990.2097
530	287411.026
531	286727.5237
532	286557.2112
533	285504.8378
534	285259.0375
535	285137.7967
536	284107.2327
537	283164.5357
538	282390.2876
539	281985.6562
540	280902.8169
541	280543.762
542	279319.3055
543	278986.6435
544	278750.6116
545	278685.2768
546	277875.6492
547	277291.2803
548	276770.4501
549	276665.8788
550	275806.6355
551	274592.1307
552	274449.121
553	273283.7583
554	272913.528
555	272551.843
556	272248.6277
557	271658.0017
558	271220.7526
559	270800.1525
560	270287.9658
561	269776.9466
562	269119.4655
563	268604.0008
564	268174.9895
565	267050.902
566	266851.2654
567	266352.8419
568	265938.3544
569	265822.2905
570	265349.3704
571	265240.5927
572	265107.161
573	264616.6912
574	264398.4639
575	263522.9436
576	263136.6662
577	262400.6379
578	262333.7415
579	262298.6231
580	262172.0173
581	261789.4247
582	261293.8678
583	260486.3434
584	259952.5589
585	259254.2771
586	258781.7634
587	258176.0554
588	257493.0748
589	256800.694
590	256274.4344
591	255388.013
592	254800.4966
593	254184.7306
594	253434.5273
595	252566.6774
596	251984.7789
597	251945.1393
598	251170.8827
599	250691.7266
600	250206.1574
601	249844.887
602	249248.9845
603	248704.5229
604	248203.5372
605	247826.9311
606	247683.4908
607	246805.2221
608	246240.6042
609	245907.4234
610	245543.8914
611	245153.4613
612	244701.9245
613	243845.228
614	243572.2483
615	242760.5407
616	242422.8294
617	242010.5968
618	241610.6225
619	241300.03
620	241086.2884
621	240792.3906
622	240268.505
623	239707.5933
624	239221.0004
625	238403.8116
626	238313.7712
627	238223.0612
628	238134.0239
629	237249.0244
630	237159.281
631	236972.5578
632	236720.6313
633	235861.6446
634	235801.8977
635	235154.0565
636	234528.3724
637	234211.9179
638	234007.2331
639	233915.9884
640	233849.2336
641	233785.6193
642	233506.0313
643	232901.8597
644	232230.5957
645	231879.5242
646	231575.1705
647	231192.5155
648	230781.2171
649	230565.3969
650	229405.8496
651	228416.6487
652	227827.3936
653	227242.6081
654	226548.3725
655	226319.411
656	225451.5535
657	225373.0825
658	225013.047
659	224439.3155
660	224193.1134
661	224135.5751
662	223863.1824
663	223493.2103
664	222838.5036
665	222207.4647
666	221390.0663
667	221061.0118
668	220519.2925
669	219968.8805
670	219325.1811
671	218844.1266
672	218491.3529
673	218098.1606
674	217464.6118
675	216768.7058
676	216449.0171
677	215795.167
678	215485.1793
679	215247.7753
680	214700.4106
681	214295.7962
682	213521.613
683	213508.5625
684	213139.4057
685	212798.4756
686	211956.9574
687	211272.9703
688	210398.9542
689	210278.7973
690	209549.5683
691	209071.6746
692	208564.0633
693	208013.6762
694	207518.7312
695	207418.5972
696	206925.2403
697	206725.0117
698	206692.7513
699	206368.2269
700	205881.7826
701	205596.5416
702	205399.6185
703	205143.9806
704	204507.2683
705	204486.7004
706	203783.7063
707	203604.5129
708	203501.5659
709	202790.452
710	202687.2438
711	202378.7953
712	201967.9147
713	201612.5002
714	201197.4048
715	200740.7143
716	200531.6071
717	200134.1272
718	199564.7881
719	199413.2396
720	198761.5977
721	198207.5394
722	197986.704
723	197103.2876
724	196672.5617
725	196642.4113
726	196538.0614
727	196454.9202
728	196129.8848
729	195506.9935
730	194972.2971
731	194750.4134
732	194710.1827
733	194394.0785
734	193980.4125
735	193621.7275
736	193598.4754
737	193332.6943
738	193043.6808
739	192920.6221
740	192299.8762
741	191399.8143
742	191252.6339
743	190946.714
744	190422.98
745	189954.8379
746	189751.0621
747	189285.69
748	188575.6532
749	188319.5787
750	187868.1526
751	187775.3895
752	187235.5855
753	186965.3996
754	186357.677
755	185868.9501
756	185621.5342
757	185141.3045
758	185079.2183
759	184890.8956
760	184509.2465
761	184272.7726
762	183783.3007
763	183340.2019
764	182588.7541
765	182288.6941
766	182056.4636
767	181717.0446
768	181619.7465
769	181041.73
770	180818.0564
771	180410.9915
772	179942.825
773	179763.1376
774	179680.1509
775	179559.6308
776	179372.6166
777	178931.6683
778	178773.8494
779	178233.9843
780	177725.9721
781	177480.8135
782	177424.9692
783	177024.5172
784	176960.2531
785	176774.6159
786	176706.4359
787	176579.8963
788	176098.008
789	176043.0935
790	175975.1824
791	175921.829
792	175601.8296
793	175525.7686
794	175154.0518
795	174915.071
796	174553.7625
797	173969.4219
798	173714.1666
799	173258.1026
800	172958.1423
801	172614.5055
802	172075.8948
803	171985.363
804	171685.7577
805	171250.4097
806	170919.3391
807	170876.4241
808	170848.5602
809	170478.1294
810	170266.5712
811	169990.8328
812	169640.7587
813	169420.1393
814	168848.6345
815	168795.8946
816	168220.6035
817	167801.2892
818	167367.9337
819	167207.5022
820	166761.1402
821	166692.8883
822	166269.1227
823	165946.737
824	165643.9853
825	165373.0384
826	165092.8754
827	164639.3963
828	164491.614
829	163844.8942
830	163551.2147
831	163332.8765
832	163051.5427
833	162834.1396
834	162449.493
835	162232.7615
836	161817.0219
837	161387.4442
838	161316.9622
839	160799.6296
840	160550.7514
841	160336.3998
842	160122.2003
843	159765.3613
844	159650.2675
845	159224.4371
846	158919.1626
847	158591.6608
848	158431.0744
849	158229.5363
850	157819.5048
851	157449.8504
852	157375.3052
853	156991.5401
854	156941.6267
855	156639.3672
856	156237.748
857	155645.957
858	155584.7285
859	155422.0364
860	154980.7643
861	154591.8538
862	154160.9078
863	153979.2948
864	153774.1794
865	153398.2567
866	153108.4678
867	152537.4737
868	152171.4866
869	151900.3155
870	151460.3032
871	151122.9652
872	150600.2327
873	150187.1219
874	149830.944
875	149584.556
876	149406.6559
877	148965.0872
878	148823.2463
879	148522.1404
880	147908.256
881	147469.3314
882	147124.8304
883	146849.1462
884	146701.4739
885	146659.8467
886	146573.773
887	146375.8931
888	146163.3185
889	145915.1081
890	145573.0626
891	145161.7825
892	144825.4644
893	144744.3659
894	144514.8305
895	144194.8642
896	143827.2223
897	143787.7081
898	143480.1007
899	142827.9492
900	142555.7577
901	142051.1295
902	141861.6215
903	141782.6991
904	141623.1374
905	141406.1586
906	141260.5214
907	141045.4137
908	140721.7984
909	140314.4752
910	140001.3135
911	139826.9908
912	139537.3213
913	139172.6461
914	138799.8763
915	138607.7551
916	138204.3407
917	137931.9474
918	137645.1818
919	137438.9929
920	137279.1487
921	137148.2052
922	136559.3219
923	136292.9633
924	136040.8975
925	135767.9903
926	135574.9254
927	135307.5634
928	135196.6569
929	135036.1867
930	134604.3235
931	134319.696
932	134048.0599
933	133706.764
934	133388.511
935	133257.8983
936	132981.7841
937	132924.4664
938	132706.5315
939	132421.7153
940	132177.4641
941	131969.4279
942	131590.9551
943	131410.1883
944	131385.0372
945	131163.3082
946	130921.5496
947	130685.6212
948	130379.3751
949	130227.8153
950	129997.5454
951	129744.4806
952	129457.6809
953	129213.6418
954	128972.4342
955	128829.1941
956	128781.8075
957	128508.6347
958	128338.8751
959	128159.9911
960	127849.1981
961	127348.5061
962	127107.4263
963	126961.3705
964	126604.1828
965	126379.4545
966	126106.5561
967	125939.1428
968	125729.0626
969	125541.4347
970	125421.74
971	125190.966
972	125040.7798
973	124811.5886
974	124415.484
975	124056.4625
976	123854.5812
977	123330.0248
978	123132.4811
979	123028.4111
980	122851.3103
981	122660.8949
982	122504.0133
983	122312.0036
984	122279.7285
985	122035.3613
986	121725.1229
987	121470.9616
988	121374.8621
989	121341.1747
990	121127.3092
991	120921.0181
992	120534.1232
993	120468.2473
994	120145.8374
995	120055.7866
996	119859.1275
997	119611.369
998	119523.8113
999	119348.41
