,title,directors,actors,genre,등급,국적,screenCnt,audiAcc,salesAcc,개봉일,제작비,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend
0,물괴,허종호,"김명민, 김인권, 혜리, 최우식, 이경영, 박희순, 박성웅, 이도경, 김중희, 이규복, 김강일, 조원희, 윤희수, 한소영, 고서희, 백승철, 성민수, 홍지윤, 이수미, 하은, 장준학, 강태영, 길금성, 성도현, 유독현, 강성훈, 이서준, 김호진, 윤병희, 백신, 김준범, 정승배, 이창세, 김성모, 홍준표, 한상철, 문경민, 임동욱, 이상협, 신신범, 유재상, 최청자, 이명자, 백예현, 이연준, 문일완, 윤준호, 정자영, 조영복, 양희명, 유병선, 최교식, 김규백, 백주환, 강성철, 박하원, 주예림, 최윤지, 김영철, 김정문, 박기천, 박용복, 오상준, 오태섭, 이강진, 이규현, 이형호, 장용복, 엄지만, 정우현, 함정인, 윤보현, 최서유, 장영록, 이강인, 김왕도, 강정혁, 추연규, 강전영, 주서은, 최원정, 조한나, 김성수, 이찬유, 손인용, 송동환, 이동훈, 이정훈, 오진호, 양근석, 신동훈, 김준범, 김학충, 신치영, 김민창, 박정규, 최성식, 김택호, 한도진, 최윤철, 모정민, 심재윤, 지경태, 박건우, 김상원, 박하현, 신시우, 김종윤, 송용환, 김형록, 이유환, 이양우, 임지형, 이기창, 김주연, 박소은, 박하영, 이상철, 김용호, 정효경, 최재옥",액션,15세이상관람가,한국,1183.0,723414.0,6104164954.0,2018-09-12,12500000000.0,1274.0,1629,22,773.0
1,싱글라이더,이주영,"이병헌, 공효진, 안소희, 잭 캠벨, 양유진, 애니카 화이틀리, 케이 에크룬드, 백수장, 최준영, 이승하, 리안나 월스맨, 베네딕트 하디에, 김학선, 문수종, 김우진, 전수환, 권혁수, 정동규, 강신철, 홍희원, 황건, 이영숙, 김수진, 민지원, 진남수, 공혜진, 김태현, 박옥출, 김지웅, 박경주, 윤일식, 김성태, 우범진, 신정호, 양지수, 김태엽, 이상원, 이형구, 양혜나, 연송하, 장요한, 최병구, 제임스 라이트, 존 하딩, 딜런 헤어, 실리아 켈리, 레아 라일리, 키이스 토머스, 앤드류 도일, Cookie",드라마,15세이상관람가,한국,576.0,351276.0,2685519021.0,2017-02-22,4500000000.0,3838.0,581,19,387.0
2,허스토리,민규동,"김희애, 김해숙, 예수정, 문숙, 이용녀, 김선영, 김준한, 이유영, 이지하, 이용이, 최병모, 정인기, 이설, 한지민, 송영창, 진선규, 박명신, 김인우, 요코우치 히로키, 윤슬, 금도자, 야마노우치 타스쿠, 오상윤, 손승훈, 한건태, 이준이, 김리우, 리민, 손강국, 박용수, 오창경, 임선우, 김혜준, 김효준, 김시영, 김한상, 이승연, 김혜림, 한다경, 이율, 김연철, 최청자, 이영자, 황복순, 원근자, 홍희자, 박경현, 윤효진, 옥주리, 김주아, 박숙명, 서민경, 정미경, 김세인, 안진영, 박수진, 노준영, 노은정, 고유림, 황도위, 박혜숙, 김담로, 오진호, 이형석, 박정규, 김가은, 나서경, 이선민, 양영애, 최인환, 이현동, 정은택, 하성영, 박정헌, 안수진, 조유진, 강일생, 김성환, 문성지, 김명희, 천주섭리수녀회, 조정준, 최정화, 미유키 키노무라, 오유리, 이은경, 민주홍, 임서영, 박진수, 윤단비, 문해랑, 이명자, 박정자, 안세하, 정하담, 김용신",드라마,12세이상관람가,한국,696.0,336822.0,2521025949.0,2018-06-27,2500000000.0,494.0,943,30,616.0
3,풀잎들,홍상수,"김민희, 정진영, 기주봉, 서영화, 김새벽, 안재홍, 공민정, 안선영, 신석호, 김명수, 이유영, 강태우",드라마,15세이상관람가,한국,54.0,7443.0,60320250.0,2018-10-25,100000000.0,162.0,111,6,0.0
4,영주,차성덕,"김향기, 김호정, 유재명, 탕준상, 장혜진, 김용준, 강동윤, 박옥출, 현봉식, 전우종, 김수아, 김민엽, 엄철, 지찬, 이서환, 정하경, 박정곤, 김선미, 김소숙, 김상엽, 김서영, 고강희, 박소진, 한지원, 강병걸, 김기용, 차진영, 김선미, 박진우, 문영동",드라마,12세이상관람가,한국,106.0,24823.0,192729750.0,2018-11-22,220000000.0,800.0,335,5,1674.0
5,여배우는 오늘도,문소리,"문소리, 강숙, 김경선, 원동연, 김래원, 이정익, 윤영균, 성병숙, 윤초희, 오민애, 이정은, 성정선, 심혜규, 이정현, 보현, 예산, 이승훈, 공상아, 박인희, 심려진, 최유정, 김숙인, 김인수, 장준환, 이지안, 윤상화, 전여빈, 이승연, 서효승, 나경찬, 박선하",드라마,15세이상관람가,한국,46.0,16646.0,137010300.0,2017-09-14,100000000.0,1128.0,77,5,375.0
6,다영씨,고봉수,"신민재, 이호정, 강하람, 박원진, 백승환, 조준희, 김충길, 김정기, 김용진, 손제영, 유현정, 양현명, 고성완, 윤지혜, 표성균",드라마,12세이상관람가,한국,19.0,797.0,5206600.0,2018-12-06,1000000.0,69.0,61,2,0.0
7,상류사회,변혁,"박해일, 수애, 윤제문, 라미란, 이진욱, 김규선, 한주영, 김해곤, 남문철, 장소연, 박성훈, 하마사키 마오, 박진우, 강기영, 김승훈, 김호정, 장혁진, 고애리, 박봉서, 손화령, 송해룡, 문정수, 백현진, 박주희, 김규랑, 손진환, 박윤희, 권정민, 남기애, 남현주, 옥주리, 한이진, 정승준, 김대근, 김동욱, 오순태, 재희, 이홍내, 김형석, 김선희, 이은현, 김경민, 차명욱, 정현석, 김진성, 주예지, 강석원, 오현승, 이인아, 육효명, 유창한, 김건우, 황규연, 안찬웅, 장명진, 김지현, 이서한, 김채원, 신현숙, 여상은, 김경아, 김다솜, 김명욱, 박힘찬, 윤영경, 박민경, 이수정, 백승환, 장규미, 김가수, 김만호, 강종성, 유금옥, 오승훈, 박중현, 박정준, 이수일, 진수남, 한희정, 양정인, 황지현, 전혜영, 한예나, 김현미, 김상욱, 김성준, 김왕용, 노희중, 명도진, 문대성, 송원수, 유광수, 이강진, 임용순, 정자영, 김경원, 김근영, 김인숙, 민효경, 박숙명, 유준아, 운가령, 윤정희, 이미영, 인지선, 임유란, 장예진, 전은미, 한지은, 이정철, 이수민, 이종욱, 박래정, 한동완, 한승현, 엄태우, 지은성, 나석민, 윤승환, 김성아, 곽나연, 한희정, 오현아, 권가이, 김정현, 오수민, 김윤, 류민하, 온세미, 주보라, 민이수, 신하랑, 김다정, 김준희, 최정윤, 최영현, 박아영, 김미희, 김태희, 우혜주, 정규연, 김명선, 정지윤, 정수동, 박상준, 문형수, 고홍열, 송주원, 조준희, 유도현, 조선재, 송바울, 이소, 박지원, 주재임, 김진호, 권혁성, 전승재, 김디나, 김원덕, 양설기, 황대웅, 오준민, 이동건, 강주리, 김한, 천대만, 천정환, 이상운, 민혜연, 이새예, 차시원, 박인아, 송정아, 한창현, 설주영, 알반 레누아, 니달 엘 멜루, 엘렌 들라호드, 루드밀라 네스테로바, 로랑 르 두아이앙, 앤 토비아스, 로랑 클라렛, 레나 마니앙, 김강우",드라마,청소년관람불가,한국,867.0,768442.0,6313416163.0,2018-08-29,8000000000.0,364.0,752,10,422.0
8,어른도감,김인선,"엄태구, 이재인, 서정연, 김희창, 황정민, 박성연, 송별, 이영숙, 장혜진, 공상아, 최재섭, 이정은, 홍원기, 김새벽, 손강국, 이윤희, 김준범, 황순미, 이동욱, 김종여, 김호연, 하복음, 오운백, 박근범, 유정온, 최덕문, 김기현, 김민주, 김선형, 김소윤, 김조영현, 살로메 뒤보아, 윤원영, 이재우, 이제희, 최이슬, 최호태, 김연주, 김이다, 김현수, 우혜진, 차주동, 홍지온, 강원, 김진황, 박신란, 오기덕, 이슬기, 김성무, 박진주, 김수환, 박강, 김경옥, 유세하, 이후종, 임향예, 정경애, 정부영, 정재환, 최윤주, 김윤수, 이강인, 장명길, 최민석, 김지혜, 배준성, 손경수, 오성호, 이진희, 장만민, 여서진, 오수빈, 이상연, 이지혜, 최유빈, 권효진, 김보희, 김성민, 김예원, 김원준, 김이다, 김현숙, 박지은, 오기덕, 유병호, 이경재, 이명희, 이옥섭, 정우진, 차주동, 홍민규, 곽경호, 김도은, 백혜정, 오정민, 원하라, 임창욱",코미디,12세이상관람가,한국,58.0,7056.0,53539700.0,2018-08-23,70000000.0,95.0,198,7,0.0
9,궁합,홍창표,"심은경, 이승기, 김상경, 연우진, 강민혁, 최우식, 조복래, 박선영, 이윤건, 김도엽, 박충선, 이용녀, 조수향, 조정은, 이수지, 박진주, 민호, 윤유선, 손종학, 주다영, 송영재, 김서현, 김호준, 최승일, 조미녀, 신혜경, 손지윤, 한성연, 장혜숙, 박옥출, 이겨울, 이선빈, 민아름, 박채경, 김정겸, 신덕규, 최준호, 윤진하, 우범진, 이원욱, 권반석, 구민혁, 곽진, 조재이, 임성표, 광복동, 임윤정, 이주연, 신하연, 강소이, 민송아, 정천석, 김욱, 황두하, 박춘근, 김상혁, 이동희, 안택균, 이정현, 변부의, 주영심, 주윤수, 최우진, 이한서, 박준서, 백승호, 황준우, 이수연, 김가은, 백승찬, 정인영, 김윤섭, 박지일, 박호산, 한갑수, 김주헌, 유정호, 노현주, 박원호, 하유미, 한수연, 장지선, 조성환, 최문수, 송광원, 이슬아, 조만주, 이재국, 강현우, 서우진, 정인태, 최교식, 한우진, 이영수, 김성훈, 윤민수, 서명균, 조우람, 손성찬, 김옥경, 한지안, 이지민, 이소현, 윤예원, 김봉조, 판유걸, 강윤제, 정재훈, 양남철, 주양균, 박찬훈, 유지서, 이상진, 서진솔, 김분례, 고니, 안지호, 이나윤, 장대웅, 임예슬, 곽지혜, 이서연, 이지성, 정민규, 홍동영, 김보경, 노은솔, 배지혜, 이수윤, 유다영, 허나경, 전승화, 최인철, 문우빈, 김치우",코미디,12세이상관람가,한국,966.0,1340117.0,10478875438.0,2018-02-28,6300000000.0,5828.0,809,18,1184.0
