title,google_trend
물괴,773
싱글라이더,387
리즈와 파랑새,375
레드 후드,409
툴리,671
허스토리,616
누구나 아는 비밀,409
택시 5,863
영주,1674
여배우는 오늘도,375
늦여름,272
트리트 미 라이크 파이어,468
상류사회,422
궁합,1184
리틀 포레스트,699
레인보우  나의 사랑,100
해피 댄싱,186
핫 썸머 나이츠,368
모어 댄 블루,466
미스터 스마일,462
아사코,539
맥베스,682
카운터스,481
후드,2102
메모리즈,877
목격자,466
퓨쳐 월드,288
스텝 바이 스텝,188
더 테이블,431
인투 더 나잇,196
에스코바르,366
마녀,1788
라이브 하드,719
나의 마지막 수트,204
셜록 놈즈,483
너의 췌장을 먹고 싶어,650
당신의 부탁,398
호밀밭의 반항아,324
내 친구 정일우,287
더 보이스,1207
작전명 비스트,195
이비자 언데드,100
이스케이프 플랜 2  하데스,100
인랑,667
1987,2593
미래의 미라이,556
양아치 느와르,277
마라,1867
벽 속에 숨은 마법시계,613
퀴어영화 뷰티풀,100
이탈리안 레이스,290
소성리,199
덕구,960
윌리,1113
골든슬럼버,708
수성못,445
해피엔드,1531
범블비,425
행복의 나라,262
곰돌이 푸 다시 만나 행복해,508
얼라이브,1355
브레이븐,196
버닝,513
액슬,889
덤보,888
왓칭,578
퍼펙트 타겟,264
T 34,2051
미스 스티븐스,260
타임 트랩 킬러,275
그것만이 내 세상,494
블랙 47,661
박열,502
칠드런 액트,626
마이펫의 이중생활 2,370
재심,388
하트스톤,490
프랑켄슈타인,789
쎈서,197
웨스트 사이드 스토리,457
로마의 휴일,956
파이브 피트,720
채비,1996
어둔 밤,372
굿바이 썸머,403
도라에몽  스탠바이미 2,618
지렁이,1477
범죄도시,507
길,2473
"그날, 바다",354
델타 보이즈,200
드래곤볼 슈퍼  브로리,830
시인 할매,465
더 리프트,100
반드시 잡는다,426
어글리 돌,349
일진,2008
린 온 피트,187
맥퀸,970
완벽한 타인,331
환절기,901
할로윈,827
갈매기,1691
콜드 워,475
고질라  킹 오브 몬스터,413
고양이와 할아버지,800
독전,300
신비한 동물들과 그린델왈드의 범죄,375
봉이 김선달,462
숨바꼭질,608
테이크 다운,298
영하의 바람,194
공포의 묘지,692
더 넌,461
용순,540
짱,1923
리지,1416
나의 작은 시인에게,201
파이널 포트레이트,375
프레데터 2018,184
라 멜로디,192
5.18 힌츠페터 스토리,295
밤쉘,723
원스 어폰 어 타임 인 베니스,255
파라독스,1166
극장판 페어리 테일  드래곤 크라이,555
아이 캔 온리 이매진,604
아이 필 프리티,553
레오나르도 다 빈치,639
28세 미성년,1130
미드나잇 선,657
쥬라기 월드  폴른 킹덤,205
이름없는 새,488
벅스 프렌즈,199
빅 식,368
트립 투 스페인,296
전설의 고향,1330
드래곤 프린세스,203
딜레마,1021
무곡,904
해피 어게인,454
포크레인,1054
언더독,606
잉글랜드 이즈 마인,247
디트로이트,630
유전,1405
류이치 사카모토  코다,208
개들의 섬,766
배틀 드론,374
해원,701
애국청년 변희재,343
콜 미 바이 유어 네임,933
메리와 마녀의 꽃,479
로드 투 로마,277
밤은 짧아 걸어 아가씨야,500
쥬만지  새로운 세계,248
팬텀 스레드,614
원더 휠,614
리노,1465
청년 마르크스,446
가족사진,1018
맨 오브 저스티스,521
22,1218
바울,1112
다키스트 아워,582
지구  놀라운 하루,657
사라진 밤,510
피터 래빗,1000
더 펜션,591
라라,2146
50가지 그림자  해방,343
데드풀 2,413
파리 오페라,720
레드 스패로,454
타임 투게더,453
몰리스 게임,349
바라나시,360
할로우 차일드,183
킬링 군터,277
더 바이 바이 맨,285
플로이,1055
어느 가족,850
사이드 이펙트,363
인크레더블 2,926
알리바이 닷 컴,195
언덕길의 아폴론,829
몬스터 파크,897
스카이스크래퍼,476
메가로돈,454
필동,819
휘트니,1121
나를 차버린 스파이,834
컨저링 마녀의 인형,250
더 게스트,802
타샤 튜더,211
픽시,2369
카르멘,1142
에브리데이,1588
서치,1597
더 프레데터,913
해적왕 작스톰,100
몬스터 호텔 3,945
박화영,407
레이디버그,1658
펭귄 하이웨이,843
데스 위시,446
비트윈 랜드 앤 씨,100
토스카,836
창궐,667
샷 콜러,549
더 로저스,211
스페셜 스쿼드,198
맨헌트,607
베러 와치 아웃,252
뷰티풀 투모로우,199
마징가 Z  인피니티,853
앤트로포이드,397
아이다,1603
한낮의 유성,470
추룡,949
톰 오브 핀란드,303
좋아하지도 않으면서,277
그린치,1044
명탐정 코난   제로의 집행인,914
미션 임파서블  폴아웃,366
인 더 더스트,198
대관람차,533
루나,1907
하나 빼고 완벽한 뉴욕 아파트,289
호텔 타지마할,100
업그레이드,1536
리 본,379
이별의 아침에 약속의 꽃을 장식하자,1088
앤트맨과 와스프,208
호텔 아르테미스,448
몬스터,2120
맨 인 블랙  인터내셔널,290
더 보이,722
극한직업,633
굿 라이어,561
워파이터,562
체크 히어로,200
사일런스,1268
이웃집 스타,514
콰이어트 플레이스 2,688
나이브스 아웃,466
디터 람스,478
수상한 교수,403
아픈 만큼 사랑한다,513
디에고,836
명탐정 코난  감청의 권,666
메리 포핀스 리턴즈,470
김광석,1373
브링 더 소울   더 무비,372
크롤,1059
신문기자,448
데드 바이 데이라이트,637
더 플랫폼,816
82년생 김지영,556
이스케이프 게임,366
악몽,1498
10 바이 10,172
더 비스트,418
시민 노무현,563
레토,1278
체이싱,306
카오산 탱고,395
암드,774
여중생A,1235
그 누구도 아닌,255
퀸 오브 하츠,580
부탁 하나만 들어줘,430
너의 결혼식,564
나의 청춘은 너의 것,780
트랜짓,550
재키,984
유령선,955
마피아,1754
내가 사는 세상,199
엔젤 오브 마인,240
호두까기 인형과 4개의 왕국,596
레이니 데이 인 뉴욕,521
라스트 크리스마스,713
캡틴 마블,319
리암 갤러거,319
캣츠,391
뷰티풀 데이즈,435
10년,1880
더 와이프,490
엑시트,298
터미네이터  다크 페이트,462
데자뷰,881
로지,1771
조선명탐정  흡혈괴마의 비밀,656
레슬러,1065
리틀 큐,295
온다,1712
동화,2239
더 컨덕터,244
가을 우체국,750
찬실이는 복도 많지,633
임신한 나무와 도깨비,267
47미터 2,815
지구 최후의 밤,198
브라더 오브 더 이어,197
페르소나,1240
글로리아 벨,635
몬테크리스토,817
아이스,2327
김복동,639
승풍파랑,100
뷰티풀 보이,555
안도 타다오,327
방문객,592
하루,2385
악녀,1443
물의 기억,281
주디,1255
노가리,1215
다크 하트,363
챔피언,1751
탈출,1995
킹덤,1811
폴라로이드,1132
기억의 밤,552
룩 어웨이,465
스파이더맨  파 프롬 홈,266
포르토,719
게이트,2456
하우스 오브 투모로우,100
원 네이션,213
피델리오,546
지푸라기라도 잡고 싶은 짐승들,553
룸 이스케이프,666
억남,825
퍼즐,1991
산타 앤 컴퍼니,100
엠마,1560
루키스,255
레나,1211
롱 리브 더 킹  목포 영웅,284
보통사람,557
세상을 바꾼 변호인,663
빌로우 허,523
애드 아스트라,375
막다른 골목의 추억,272
데드 트리거,393
이스케이프 룸,505
블루스 인 인디아,190
경계선,1139
아담스 패밀리,706
우먼 인 할리우드,247
몽마르트 파파,235
카운트다운,642
속닥속닥,477
아티스트  다시 태어나다,380
열두 번째 용의자,100
빅 브라더,834
팡파레,1189
싸움의 기술,932
이태원,1835
옥자,273
그것  두 번째 이야기,100
행맨,358
레플리카,1613
아무도 없는 곳,601
오피셜 시크릿,169
스트롱거,779
아이즈 온 미   더 무비,306
어쩌다 룸메이트,456
싸이코 킬러,197
임을 위한 행진곡,746
미이라 리턴즈,284
헬로우 평양,100
깡패들,584
트리플 스렛,528
아이스브레이커,183
커런트 워,359
엑스맨  다크 피닉스,299
로드킬,545
글래스,659
거미줄에 걸린 소녀,786
말레피센트 2,507
너와 파도를 탈 수 있다면,723
우리들의 완벽한 세계,627
지금 만나러 갑니다,878
왓 데이 해드,200
뱅드림! 필름 라이브,264
더 크리스마스,425
내안의 그놈,308
검은 여름,823
나를 찾아서,290
닥터 두리틀,661
미드 90,635
"무현, 두 도시 이야기",355
분장,1170
매리,644
월성,1062
제미니 맨,609
시크릿 웨폰,197
예스터데이,731
틴 스피릿,556
마담 프루스트의 비밀정원,579
어메이징 그레이스,907
어스,1198
허슬러,332
걸작,764
"다시, 봄",1980
메이킹 패밀리,158
뷰티플 마인드,198
미나리,1038
다잉,1308
0.0MHz,833
하이 라이프,426
오늘도 평화로운,362
어른이 되면,480
서스페리아,550
