screenCnt,Target,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
1,11,1.791759469228055,27,2,0,0,0,1,0,5
1183,11,4.804021044733257,7,4,0,0,1,0,0,1
576,11,3.9318256327243257,4,11,0,0,1,0,0,1
214,11,1.791759469228055,43,8,0,0,0,1,0,6
1,11,1.791759469228055,89,5,0,0,1,0,0,2
161,11,1.791759469228055,20,11,0,0,1,0,0,24
696,11,4.574710978503383,6,11,0,1,0,0,0,1
273,11,2.0794415416798357,33,8,0,0,0,1,0,2
54,11,2.5649493574615367,39,11,0,0,1,0,0,1
3,11,2.6390573296152584,67,11,0,0,0,1,0,1
52,11,2.0794415416798357,19,11,0,0,1,0,0,10
224,11,1.791759469228055,35,4,0,0,1,0,0,11
106,11,3.4339872044851463,8,11,0,1,0,0,0,1
46,11,3.4657359027997265,71,11,0,0,1,0,0,1
9,11,2.4849066497880004,75,13,0,0,1,0,0,1
19,11,2.772588722239781,58,11,0,1,0,0,0,1
34,11,1.9459101490553132,41,13,0,0,0,0,1,11
1,11,0.6931471805599453,101,4,0,0,0,0,1,5
159,11,2.0794415416798357,29,10,0,0,1,0,0,2
867,11,5.225746673713202,7,11,0,0,0,0,1,1
58,11,4.584967478670572,38,7,0,1,0,0,0,1
966,10,4.912654885736052,8,7,0,1,0,0,0,1
884,10,4.663439094112067,11,11,0,0,0,1,0,1
20,11,2.0794415416798357,70,13,0,1,0,0,0,19
2,11,3.713572066704308,71,11,0,1,0,0,0,1
26,11,1.6094379124341003,57,11,0,0,1,0,0,15
44,11,2.0794415416798357,41,11,0,0,1,0,0,11
88,11,3.6635616461296463,8,7,0,0,1,0,0,1
110,11,1.791759469228055,22,8,0,0,0,1,0,6
1,11,1.3862943611198906,71,10,0,0,0,0,1,5
25,11,1.791759469228055,51,11,0,1,0,0,0,5
5,11,1.791759469228055,71,10,0,0,1,0,0,6
173,11,2.1972245773362196,49,11,0,0,1,0,0,2
1,11,1.791759469228055,92,4,0,0,1,0,0,2
37,11,1.791759469228055,43,11,0,0,0,1,0,10
132,11,2.1972245773362196,26,13,0,1,0,0,0,9
1453,10,2.1972245773362196,2,8,0,0,0,1,0,2
5,11,1.6094379124341003,78,4,0,0,1,0,0,15
1,11,1.3862943611198906,89,11,0,0,1,0,0,16
56,11,1.9459101490553132,19,11,0,0,1,0,0,2
167,11,2.0794415416798357,13,11,0,1,0,0,0,6
152,11,2.3978952727983707,42,8,0,0,0,1,0,5
2,11,1.791759469228055,68,11,0,1,0,0,0,2
141,11,2.0794415416798357,21,11,0,0,1,0,0,5
140,11,1.791759469228055,34,8,0,0,0,1,0,6
168,11,1.9459101490553132,40,13,0,1,0,0,0,2
51,11,3.7376696182833684,58,18,0,0,1,0,0,1
628,11,1.9459101490553132,13,2,0,1,0,0,0,2
1,11,0.6931471805599453,71,18,0,0,0,1,0,1
6,11,2.6390573296152584,62,8,0,0,1,0,0,6
1021,9,3.8501476017100584,6,10,0,0,1,0,0,1
51,11,1.791759469228055,53,4,0,0,1,0,0,2
1,11,1.9459101490553132,18,7,0,1,0,0,0,5
1,11,1.791759469228055,91,6,0,0,1,0,0,19
16,11,1.9459101490553132,69,11,0,0,1,0,0,11
28,11,3.4965075614664802,67,7,0,0,1,0,0,1
272,11,3.044522437723423,30,11,0,1,0,0,0,1
14,11,3.4965075614664802,55,18,0,1,0,0,0,1
99,11,1.791759469228055,29,3,0,0,1,0,0,10
176,11,1.6094379124341003,29,8,0,0,0,1,0,16
2,11,1.9459101490553132,75,11,0,0,1,0,0,6
1,11,1.0986122886681098,89,4,0,0,1,0,0,2
1117,8,4.6443908991413725,4,9,0,0,1,0,0,1
31,11,2.8903717578961645,55,11,0,1,0,0,0,1
10,11,2.6390573296152584,67,11,0,0,1,0,0,1
6,11,1.791759469228055,71,3,0,0,1,0,0,13
1,11,0.6931471805599453,101,10,0,0,0,0,1,12
21,11,2.0794415416798357,69,11,0,1,0,0,0,18
440,11,2.1972245773362196,35,8,0,0,0,1,0,2
6,11,2.4849066497880004,71,7,0,0,1,0,0,1
31,11,2.0794415416798357,71,13,0,0,0,1,0,6
11,11,1.791759469228055,78,13,0,1,0,0,0,6
218,11,2.0794415416798357,6,11,0,1,0,0,0,6
179,11,1.3862943611198906,71,8,0,0,0,1,0,6
371,11,3.828641396489095,8,11,0,0,1,0,0,1
266,11,1.791759469228055,35,15,0,0,1,0,0,2
68,11,2.0794415416798357,41,11,0,1,0,0,0,2
2,11,2.0794415416798357,71,11,0,0,0,0,1,6
11,11,1.791759469228055,28,11,0,0,1,0,0,11
