screenCnt,audiAcc,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
1,10,1.791759469228055,26,2,0,0,0,1,0,5
1183,723414,4.804021044733257,7,4,0,0,1,0,0,1
576,351276,3.9318256327243257,4,11,0,0,1,0,0,1
214,21153,1.791759469228055,42,8,0,0,0,1,0,6
1,1,1.791759469228055,89,5,0,0,1,0,0,2
161,37241,1.791759469228055,19,11,0,0,1,0,0,24
696,336822,4.574710978503383,6,11,0,1,0,0,0,1
273,18169,2.0794415416798357,32,8,0,0,0,1,0,2
54,7443,2.5649493574615367,38,11,0,0,1,0,0,1
3,3012,2.6390573296152584,67,11,0,0,0,1,0,1
52,28258,2.0794415416798357,18,11,0,0,1,0,0,10
224,10768,1.791759469228055,34,4,0,0,1,0,0,11
106,24823,3.4339872044851463,8,11,0,1,0,0,0,1
46,16646,3.4657359027997265,71,11,0,0,1,0,0,1
9,1032,2.4849066497880004,75,13,0,0,1,0,0,1
19,797,2.772588722239781,58,11,0,1,0,0,0,1
34,3147,1.9459101490553132,40,13,0,0,0,0,1,11
1,1,0.6931471805599453,96,4,0,0,0,0,1,5
159,10074,2.0794415416798357,28,10,0,0,1,0,0,2
867,768442,5.225746673713202,7,11,0,0,0,0,1,1
58,7056,4.584967478670572,37,7,0,1,0,0,0,1
966,1340117,4.912654885736052,8,7,0,1,0,0,0,1
884,1505560,4.663439094112067,10,11,0,0,0,1,0,1
20,1656,2.0794415416798357,70,13,0,1,0,0,0,19
2,499,3.713572066704308,71,11,0,1,0,0,0,1
26,2145,1.6094379124341003,56,11,0,0,1,0,0,15
44,7764,2.0794415416798357,40,11,0,0,1,0,0,11
88,4476,3.6635616461296463,8,7,0,0,1,0,0,1
110,46913,1.791759469228055,21,8,0,0,0,1,0,6
1,6,1.3862943611198906,71,10,0,0,0,0,1,5
25,3338,1.791759469228055,50,11,0,1,0,0,0,5
5,16,1.791759469228055,71,10,0,0,1,0,0,6
173,11526,2.1972245773362196,48,11,0,0,1,0,0,2
1,1,1.791759469228055,92,4,0,0,1,0,0,2
37,3684,1.791759469228055,42,11,0,0,0,1,0,10
132,26101,2.1972245773362196,25,13,0,1,0,0,0,9
1453,1754375,2.1972245773362196,2,8,0,0,0,1,0,2
5,81,1.6094379124341003,78,4,0,0,1,0,0,15
1,2,1.3862943611198906,89,11,0,0,1,0,0,16
56,22348,1.9459101490553132,18,11,0,0,1,0,0,2
167,14441,2.0794415416798357,12,11,0,1,0,0,0,6
152,11364,2.3978952727983707,41,8,0,0,0,1,0,5
2,224,1.791759469228055,68,11,0,1,0,0,0,2
141,98161,2.0794415416798357,20,11,0,0,1,0,0,5
140,6226,1.791759469228055,33,8,0,0,0,1,0,6
168,6367,1.9459101490553132,39,13,0,1,0,0,0,2
51,4819,3.7376696182833684,58,18,0,0,1,0,0,1
628,284601,1.9459101490553132,12,2,0,1,0,0,0,2
1,45,0.6931471805599453,71,18,0,0,0,1,0,1
6,438,2.6390573296152584,62,8,0,0,1,0,0,6
1021,2524086,3.8501476017100584,6,10,0,0,1,0,0,1
51,3051,1.791759469228055,52,4,0,0,1,0,0,2
1,2,1.9459101490553132,17,7,0,1,0,0,0,5
1,1,1.791759469228055,91,6,0,0,1,0,0,19
16,983,1.9459101490553132,69,11,0,0,1,0,0,11
28,983,3.4965075614664802,67,7,0,0,1,0,0,1
272,103054,3.044522437723423,29,11,0,1,0,0,0,1
14,593,3.4965075614664802,54,18,0,1,0,0,0,1
99,8506,1.791759469228055,28,3,0,0,1,0,0,10
176,10912,1.6094379124341003,28,8,0,0,0,1,0,16
2,47,1.9459101490553132,75,11,0,0,1,0,0,6
1,1,1.0986122886681098,89,4,0,0,1,0,0,2
1117,3189091,4.6443908991413725,4,9,0,0,1,0,0,1
31,3379,2.8903717578961645,54,11,0,1,0,0,0,1
10,237,2.6390573296152584,67,11,0,0,1,0,0,1
6,123,1.791759469228055,71,3,0,0,1,0,0,13
1,1,0.6931471805599453,96,10,0,0,0,0,1,12
21,5790,2.0794415416798357,69,11,0,1,0,0,0,18
440,86784,2.1972245773362196,34,8,0,0,0,1,0,2
6,1068,2.4849066497880004,71,7,0,0,1,0,0,1
31,1629,2.0794415416798357,71,13,0,0,0,1,0,6
11,109,1.791759469228055,78,13,0,1,0,0,0,6
218,465495,2.0794415416798357,6,11,0,1,0,0,0,6
179,46386,1.3862943611198906,71,8,0,0,0,1,0,6
371,25652,3.828641396489095,8,11,0,0,1,0,0,1
266,24379,1.791759469228055,34,15,0,0,1,0,0,2
68,20631,2.0794415416798357,40,11,0,1,0,0,0,2
2,544,2.0794415416798357,71,11,0,0,0,0,1,6
11,469,1.791759469228055,27,11,0,0,1,0,0,11
22,3599,1.791759469228055,40,18,0,0,0,1,0,3
320,27128,1.9459101490553132,32,8,0,0,0,1,0,30
80,11887,3.8501476017100584,54,18,0,0,0,1,0,1
64,12487,1.9459101490553132,30,7,0,0,0,0,1,2
1,1,1.9459101490553132,78,4,0,0,1,0,0,2
1,1,1.791759469228055,96,4,0,0,0,0,1,5
27,6431,2.0794415416798357,60,4,0,0,1,0,0,2
6,36,4.430816798843313,67,7,0,0,1,0,0,1
1085,897548,5.420534999272286,4,6,0,0,1,0,0,1
1299,7231638,5.69035945432406,8,11,0,0,1,0,0,1
23,1364,1.791759469228055,71,9,0,0,1,0,0,11
508,104950,2.0794415416798357,10,8,0,0,0,1,0,6
6,455,3.332204510175204,49,11,0,0,0,0,1,1
22,2267,4.6443908991413725,71,11,0,0,1,0,0,1
144,8272,2.0794415416798357,36,15,0,1,0,0,0,2
276,24019,1.791759469228055,42,8,0,0,0,1,0,2
609,215029,1.791759469228055,8,5,0,0,0,1,0,2
35,9192,1.791759469228055,27,11,0,0,1,0,0,5
1,65,2.3978952727983707,71,13,0,0,0,0,1,1
1,1,1.9459101490553132,96,4,0,0,0,0,1,2
1,1,1.0986122886681098,92,4,0,0,0,0,1,2
5,29,1.791759469228055,91,4,0,1,0,0,0,16
5,90,1.9459101490553132,71,11,0,0,1,0,0,19
20,2882,2.6390573296152584,45,18,0,0,0,1,0,1
18,2042,3.295836866004329,54,18,0,1,0,0,0,1
1,1,1.791759469228055,96,15,0,0,0,0,1,2
167,7369,1.791759469228055,33,15,0,0,1,0,0,11
544,306126,3.8918202981106265,10,11,0,0,0,1,0,1
162,22716,2.302585092994046,88,8,0,0,0,1,0,18
833,1387508,5.117993812416755,8,3,0,0,1,0,0,1
860,951797,5.159055299214529,8,3,0,0,0,0,1,1
1,1,2.1972245773362196,78,4,0,0,0,0,1,2
36,3539,4.718498871295094,58,11,0,0,1,0,0,1
35,6510,2.0794415416798357,27,11,0,0,1,0,0,11
1016,1561643,1.791759469228055,7,4,0,1,0,0,0,2
15,1006,3.2188758248682006,58,11,0,0,0,0,1,1
536,490307,1.9459101490553132,2,2,0,0,0,1,0,2
53,18252,2.302585092994046,8,18,0,0,0,1,0,1
16,1689,4.02535169073515,71,11,0,1,0,0,0,1
1,130,1.6094379124341003,71,9,0,1,0,0,0,24
56,2063,1.791759469228055,71,4,0,0,1,0,0,24
739,528153,4.465908118654584,8,9,0,0,0,0,1,1
149,18219,2.302585092994046,33,4,0,1,0,0,0,2
1,1,1.0986122886681098,98,6,0,0,0,0,1,2
797,345521,2.3978952727983707,2,16,0,0,0,1,0,2
39,10639,3.912023005428146,29,18,0,0,0,1,0,1
488,54410,2.833213344056216,19,15,0,0,1,0,0,1
37,2172,2.0794415416798357,65,13,0,0,1,0,0,6
1,1,1.0986122886681098,92,6,0,0,1,0,0,2
1,2,1.9459101490553132,90,6,0,0,1,0,0,20
43,15597,1.791759469228055,71,8,0,1,0,0,0,6
1,245,2.0794415416798357,46,11,0,0,1,0,0,11
85,19917,2.0794415416798357,19,8,0,0,0,1,0,6
629,347790,3.828641396489095,7,7,0,0,1,0,0,1
16,808,2.0794415416798357,47,4,0,0,1,0,0,11
1,1,1.791759469228055,88,12,0,1,0,0,0,15
64,18652,1.9459101490553132,18,11,0,1,0,0,0,2
35,4499,1.0986122886681098,59,18,0,1,0,0,0,11
21,673,2.5649493574615367,52,11,0,1,0,0,0,1
314,15894,2.5649493574615367,17,8,0,0,0,1,0,1
1,1,1.791759469228055,71,4,0,0,0,0,1,2
1,1,1.791759469228055,89,4,0,0,1,0,0,2
10,10,1.791759469228055,87,4,0,0,1,0,0,2
1138,416739,2.0794415416798357,2,8,0,0,0,1,0,2
862,3417629,4.634728988229636,8,7,0,1,0,0,0,1
9,417,2.1972245773362196,47,12,0,0,1,0,0,4
1176,2359174,4.564348191467836,10,11,0,1,0,0,0,1
5,21,0.6931471805599453,91,4,0,0,1,0,0,16
61,23933,2.0794415416798357,71,11,0,1,0,0,0,5
933,1114941,2.0794415416798357,9,8,0,0,0,1,0,2
935,2420729,4.382026634673881,8,11,0,0,1,0,0,1
37,5288,1.9459101490553132,52,11,0,1,0,0,0,18
15,5461,2.0794415416798357,10,19,0,0,1,0,0,2
1,1,1.791759469228055,92,4,0,0,1,0,0,2
16,1687,3.7612001156935624,71,11,0,0,1,0,0,1
83,8697,3.9512437185814275,39,11,0,0,1,0,0,1
1,60,1.791759469228055,86,4,0,0,0,0,1,15
754,121576,1.791759469228055,2,11,0,1,0,0,0,2
436,134827,5.1647859739235145,10,7,0,0,1,0,0,1
10,230,2.0794415416798357,71,4,0,0,1,0,0,16
226,8755,1.791759469228055,32,8,0,0,0,1,0,18
5,29,1.0986122886681098,90,4,0,0,1,0,0,20
457,92713,2.1972245773362196,71,11,0,0,1,0,0,2
480,175889,4.820281565605037,71,11,0,1,0,0,0,1
252,28064,1.3862943611198906,33,8,0,0,0,1,0,18
17,1310,3.8918202981106265,56,4,0,0,1,0,0,1
34,5174,3.2188758248682006,58,11,0,1,0,0,0,1
191,11055,2.1972245773362196,39,8,0,0,0,1,0,16
631,82311,2.8903717578961645,24,8,0,0,0,1,0,6
11,505,1.9459101490553132,47,7,0,0,1,0,0,2
73,4212,1.791759469228055,71,18,0,0,1,0,0,2
6,519,4.477336814478207,71,9,0,0,0,0,1,1
