네이버_기대지수,star_buzz,Movie_Buzz,Target,act_n,dist_rank,genre_rank,direct_rank
1274,1629,795,0,121,4,5,67
3838,581,406,0,50,8,13,67
494,943,646,1,96,2,13,41
162,111,6,0,12,8,13,94
800,335,1679,0,30,3,13,67
1128,77,380,1,31,8,13,67
69,61,2,1,15,9,13,99
364,752,432,0,185,4,13,67
95,198,7,0,97,8,8,67
5828,809,1202,1,135,3,8,67
5613,1715,737,1,105,5,13,67
212,188,6,1,38,3,8,99
583,1657,505,1,46,2,7,51
3207,579,449,1,20,7,13,85
275,984,1788,1,103,8,9,31
354,353,408,0,45,3,13,91
2941,2115,753,0,225,8,12,25
58,47,201,1,26,8,15,67
446,388,974,1,48,5,13,67
4790,1180,728,1,166,3,3,67
3041,769,64,1,173,3,3,57
230,140,450,0,111,9,13,67
10341,802,562,0,86,3,9,67
107,263,584,0,16,6,11,67
12977,632,28,1,45,4,8,67
5829,990,519,1,102,3,8,67
7265,1121,576,1,95,5,13,40
6797,1380,436,1,79,3,13,58
7567,1425,600,1,72,5,3,20
945,156,369,1,37,7,15,79
467,150,208,1,23,9,13,99
2344,366,441,0,85,2,7,50
608,1920,375,1,29,4,13,15
764,228,919,0,32,6,13,91
2703,1104,318,1,111,2,3,34
197,303,10,1,41,8,15,67
20055,1808,539,1,74,3,2,67
71,120,196,0,171,8,13,67
439,116,552,0,81,4,13,67
397,637,533,1,23,8,7,67
125,92,6,0,7,8,13,94
60,138,5,0,34,9,13,88
1631,1461,708,0,196,2,2,18
603,1595,670,1,81,3,8,13
5472,555,25,0,132,1,9,61
1041,252,519,0,43,8,8,67
12075,1051,930,1,72,4,13,67
2820,390,1254,0,70,4,13,67
195,300,7,0,9,8,15,67
2034,1242,603,1,132,5,10,67
418,32,955,0,5,7,15,79
250,230,440,0,24,8,13,67
978,256,14,0,51,8,10,67
1006,651,10,0,84,6,10,67
644,1663,316,1,121,3,8,67
159,357,887,0,51,8,9,67
3955,2675,40,1,98,1,2,67
523,1024,1086,0,51,4,13,67
809,343,641,0,28,8,13,67
8,714,2410,1,59,3,7,67
3562,1259,1471,1,128,2,5,42
5,8,0,1,25,8,13,67
726,573,1765,1,91,8,13,70
5028,599,577,1,48,5,9,67
371,427,2464,0,77,8,3,67
4100,1290,565,0,62,5,7,67
396,1725,26,0,100,5,5,20
2459,737,579,0,108,8,13,75
816,234,17,0,78,8,13,67
111,154,1192,0,17,9,13,95
130,657,1838,0,7,8,15,67
2078,1447,941,1,70,4,10,48
2285,1296,328,1,178,8,6,53
3819,105,372,1,12,8,15,67
254,62,1171,1,89,8,13,67
41,168,201,0,7,4,15,67
495,373,840,0,82,8,11,67
79,52,366,1,67,8,5,100
104,69,485,0,34,8,15,67
129,684,297,0,39,8,8,67
46,168,414,0,40,8,8,67
336,907,1196,1,55,8,11,50
726,112,353,1,38,8,15,67
5888,849,599,0,79,3,7,14
403,248,922,1,66,3,10,67
8022,1280,1428,1,126,1,3,67
946,649,472,1,70,8,8,67
2437,1677,816,1,207,3,13,67
1172,2010,560,1,115,3,13,37
599,1672,691,1,99,4,13,67
1987,2580,292,1,215,8,7,67
142,208,234,0,6,8,13,98
1987,375,500,0,40,6,9,67
972,160,846,0,70,8,8,67
5209,1053,1979,1,44,4,5,67
15767,1916,1570,1,120,1,8,19
140,77,4,0,2,8,15,97
3052,1860,173,1,54,2,3,67
109,41,292,0,52,6,15,67
1035,267,1844,1,65,7,13,87
28898,2940,776,1,86,3,3,29
73,23,1198,0,6,8,8,101
11575,405,466,0,87,8,13,67
1736,153,10,0,13,8,13,64
2297,112,445,0,11,8,15,86
25600,1801,2302,1,37,3,8,67
4353,331,696,1,77,5,9,66
429,15,2,0,3,8,15,67
481,108,335,0,165,8,13,67
97770,2775,694,1,319,3,5,6
13996,1944,708,1,108,8,5,25
6851,1098,629,1,55,3,10,67
1204,302,546,1,19,3,10,85
13233,980,557,0,109,4,13,67
8071,1014,601,1,93,1,10,51
8894,1241,1629,1,66,8,13,59
167,55,302,1,3,8,10,67
1993,867,56,0,55,8,11,54
758,127,429,0,74,8,7,67
6176,1444,744,1,119,1,8,62
440,77,750,0,14,3,13,67
212,22,2,0,15,8,11,67
7290,1980,746,0,184,5,13,67
173,18,208,0,73,8,13,67
6385,974,715,0,60,8,14,47
7164,1064,430,1,99,3,7,67
8338,1500,1690,1,209,2,13,17
25803,1979,195,0,180,3,5,67
5696,766,687,0,77,2,12,67
1217,388,814,0,56,3,13,67
1267,334,1797,0,44,6,13,90
1791,1064,524,0,60,8,3,67
26181,1795,820,1,88,7,13,46
35317,2168,771,1,119,3,4,67
71,1,0,0,6,8,15,67
8809,1864,620,1,116,3,2,10
193,359,3,0,15,8,15,67
4785,630,53,1,97,5,9,38
71,2197,2010,1,89,3,5,67
6377,927,565,1,88,6,8,43
9811,1397,506,1,91,1,3,22
8363,1802,960,1,129,4,6,67
1309,16,174,0,65,8,5,67
123,42,106,0,4,8,15,67
4178,212,920,1,38,8,11,67
1700,895,962,1,69,8,13,37
109,3,13,0,56,8,15,67
554,38,693,1,27,8,13,67
362,37,158,0,57,8,9,80
713,155,638,1,46,8,10,67
823,1080,11,1,20,8,15,67
16419,1363,79,1,198,4,5,24
10237,301,31,1,4,7,15,83
242,36,9,0,27,8,10,67
3971,749,296,0,74,3,7,67
1663,394,544,1,110,3,13,88
45603,2053,498,1,116,1,13,7
946,120,303,0,63,6,10,67
12267,1323,444,1,176,3,3,67
7978,1309,1746,0,40,4,13,48
42,67,2,0,128,8,13,67
189,110,1923,0,7,8,13,67
2304,577,2003,0,103,5,7,67
204,170,671,0,57,6,13,91
254,1304,529,1,69,1,8,67
1314,1148,639,1,154,1,2,22
19537,1446,435,1,58,1,8,27
12491,330,873,0,72,1,8,75
15676,1010,440,1,36,3,3,67
7445,2430,15,1,222,4,13,11
298,57,4,0,52,8,13,96
3502,369,398,0,83,8,8,74
192,256,764,0,64,3,8,67
3249,365,617,0,110,8,8,52
4064,313,3,0,61,3,8,67
20285,1980,673,1,129,3,1,67
55,711,1639,0,31,8,16,67
92,156,3,0,112,8,8,67
5499,1592,631,0,50,4,5,6
20569,1954,385,0,95,3,13,67
2026,385,2,0,11,8,8,67
552,1592,377,0,90,5,2,67
585,210,3,0,60,8,3,67
0,1117,653,1,128,2,13,39
226,155,213,0,34,8,13,67
284,142,348,1,10,8,13,94
7337,811,680,1,67,2,5,67
83,86,197,0,9,9,15,67
589,2370,14,1,162,3,3,33
5051,1288,9,0,130,5,6,65
155,306,606,1,57,7,13,67
1312,188,984,0,147,8,13,67
0,895,748,0,187,6,2,64
3631,1493,1157,1,113,4,8,67
223,109,2,0,103,8,12,67
100,38,1,0,29,8,13,67
5618,739,984,1,101,8,13,67
1501,246,697,1,46,2,13,81
2544,496,416,1,53,8,9,67
9031,2329,19,0,13,4,1,60
1272,534,419,0,29,6,9,90
948,170,2,0,68,8,14,67
3182,935,11,1,119,3,3,67
263,175,2,0,64,8,13,67
6563,638,823,1,19,3,7,67
1549,638,27,0,69,6,13,67
212,133,689,0,146,6,14,67
346,986,546,1,45,2,13,56
238,149,4,0,28,8,12,100
176,77,1,0,7,8,8,67
3740,274,570,0,60,8,7,67
32567,1535,733,1,142,2,5,12
529,196,6,0,97,8,13,67
394,21,100,0,55,8,13,67
12,9,100,0,41,8,13,92
3310,895,726,0,91,5,2,40
2366,1358,610,0,102,6,13,9
66,53,1,0,24,8,13,67
7023,2550,512,1,80,4,13,63
149,334,1848,1,114,4,13,87
364,183,611,0,88,8,8,67
6242,726,511,1,71,8,13,67
418,259,6,0,4,2,15,67
1187,104,758,0,269,8,3,67
5663,838,19,1,103,4,2,35
25520,549,2082,1,95,3,13,67
1714,846,631,1,11,3,9,67
8614,1018,320,1,106,8,3,31
618,3150,31,1,80,2,8,19
31,22,0,0,22,8,15,99
1373,451,3,1,153,8,13,67
158,12,1425,1,1,8,15,67
217,677,644,0,105,4,13,67
3455,590,442,0,70,8,3,67
551,959,313,1,88,3,10,68
3962,702,491,0,114,2,3,67
4085,1165,1049,0,135,4,4,67
4301,1470,575,0,117,2,13,12
1324,163,13,0,67,8,3,67
483,786,544,1,49,2,10,67
946,1201,1617,1,81,3,3,67
1598,1397,29,1,87,3,5,23
3484,1100,775,0,112,5,8,67
2516,1530,463,1,14,2,13,67
690,916,19,1,46,6,13,67
295,111,0,0,5,8,15,89
17679,1472,850,1,171,2,3,8
5381,861,1028,0,90,3,13,68
1312,1146,614,0,152,8,13,67
113,49,1,0,39,8,13,101
150,427,1158,0,54,8,13,67
2434,791,484,1,116,8,3,39
5632,1035,803,0,22,5,13,57
484,1638,1386,1,93,4,13,36
868,771,39,1,117,3,8,67
9879,1912,834,1,59,3,5,18
145,179,549,0,17,8,15,89
150,54,5,0,34,8,13,67
264,161,515,0,77,6,13,67
585,282,1415,0,66,8,13,67
57304,3150,184,1,93,4,6,4
2648,640,522,0,68,8,8,67
5965,1164,407,1,156,2,5,11
7814,714,732,1,26,2,9,67
145,288,727,0,25,8,9,67
802,1028,803,0,111,3,7,82
754,1347,1134,0,117,4,9,24
2929,815,412,0,156,8,13,67
283,84,1,0,2,8,15,67
2468,2703,993,1,223,2,2,28
517,933,24,1,100,8,3,45
774,1476,2341,1,74,2,8,13
359,104,1184,0,12,8,5,67
3920,2790,544,0,90,3,13,3
293,1174,915,0,49,1,13,67
227,93,407,0,64,8,13,67
508,174,2550,0,25,8,7,67
5690,1037,7,0,61,6,8,58
5095,1374,68,1,80,4,6,4
724,950,453,1,129,3,9,21
760,1071,24,1,69,3,8,38
57,20,2,0,11,8,13,67
3320,814,833,1,92,3,8,67
2637,1068,484,1,28,3,3,69
237,689,442,0,73,8,3,76
574,151,1105,0,115,8,5,67
45099,21,85,1,38,3,15,67
3084,933,41,1,121,4,3,59
3259,561,564,0,101,8,13,45
24306,1890,431,1,120,4,3,50
42,85,3,0,56,8,13,67
25769,289,720,1,4,1,11,67
3042,514,6,0,17,3,9,70
163,310,4,0,40,8,5,67
2715,419,791,0,61,6,13,67
6376,177,403,0,11,8,11,67
4920,1051,844,1,74,3,3,67
155,856,1371,0,92,2,3,73
6696,1631,633,1,96,5,8,66
7026,591,455,1,46,8,3,67
13930,1692,500,1,65,2,13,46
1218,638,2701,0,80,4,13,67
20349,486,569,0,35,7,15,86
73,103,267,0,15,8,13,67
4647,940,654,1,128,1,13,67
901,323,197,0,14,8,8,67
202,182,408,0,127,3,13,67
10378,1622,593,1,102,1,13,16
308,295,293,0,60,8,13,67
466,557,13,1,63,4,13,67
383,1119,839,1,46,5,7,67
279,716,4,0,151,8,2,30
2185,1925,963,0,213,1,3,16
423,841,2361,1,89,2,13,67
7106,889,834,1,71,3,9,67
