네이버_기대지수,star_buzz,movie_buzz_naver,Target,act_n,dist_rank,genre_rank,direct_rank
1274.0,1629,22,0,121,4,5,67
3838.0,581,19,0,50,8,13,67
494.0,943,30,1,96,2,13,41
162.0,111,6,0,12,8,13,94
800.0,335,5,0,30,3,13,67
1128.0,77,5,1,31,8,13,67
69.0,61,2,1,15,9,13,99
364.0,752,10,0,185,4,13,67
95.0,198,7,0,97,8,8,67
5828.0,809,18,1,135,3,8,67
5613.0,1715,38,1,105,5,13,67
212.0,188,6,1,38,3,8,99
583.0,1657,39,1,46,2,7,51
3207.0,579,18,1,20,7,13,85
275.0,984,0,1,103,8,9,31
354.0,353,10,0,45,3,13,91
2941.0,2115,86,0,225,8,12,25
58.0,47,2,1,26,8,15,67
446.0,388,14,1,48,5,13,67
4790.0,1180,20,1,166,3,3,67
3041.0,769,64,1,173,3,3,57
230.0,140,5,0,111,9,13,67
10341.0,802,49,0,86,3,9,67
107.0,263,6,0,16,6,11,67
12977.0,632,28,1,45,4,8,67
5829.0,990,25,1,102,3,8,67
7265.0,1121,74,1,95,5,13,40
6797.0,1380,48,1,79,3,13,58
7567.0,1425,93,1,72,5,3,20
945.0,156,15,1,37,7,15,79
467.0,150,8,1,23,9,13,99
2344.0,366,15,0,85,2,7,50
608.0,1920,44,1,29,4,13,15
764.0,228,18,0,32,6,13,91
2703.0,1104,18,1,111,2,3,34
197.0,303,10,1,41,8,15,67
20055.0,1808,77,1,74,3,2,67
71.0,120,2,0,171,8,13,67
439.0,116,12,0,81,4,13,67
397.0,637,23,1,23,8,7,67
125.0,92,6,0,7,8,13,94
60.0,138,5,0,34,9,13,88
1631.0,1461,41,0,196,2,2,18
603.0,1595,37,1,81,3,8,13
5472.0,555,25,0,132,1,9,61
1041.0,252,5,0,43,8,8,67
12075.0,1051,374,1,72,4,13,67
2820.0,390,19,0,70,4,13,67
195.0,300,7,0,9,8,15,67
2034.0,1242,39,1,132,5,10,67
418.0,32,0,0,5,7,15,79
250.0,230,5,0,24,8,13,67
978.0,256,14,0,51,8,10,67
1006.0,651,10,0,84,6,10,67
644.0,1663,18,1,121,3,8,67
159.0,357,6,0,51,8,9,67
3955.0,2675,40,1,98,1,2,67
523.0,1024,21,0,51,4,13,67
809.0,343,8,0,28,8,13,67
8.0,714,25,1,59,3,7,67
3562.0,1259,28,1,128,2,5,42
5.0,8,0,1,25,8,13,67
726.0,573,14,1,91,8,13,70
5028.0,599,25,1,48,5,9,67
371.0,427,8,0,77,8,3,67
4100.0,1290,12,0,62,5,7,67
396.0,1725,26,0,100,5,5,20
2459.0,737,22,0,108,8,13,75
816.0,234,17,0,78,8,13,67
111.0,154,3,0,17,9,13,95
130.0,657,3,0,7,8,15,67
2078.0,1447,63,1,70,4,10,48
2285.0,1296,20,1,178,8,6,53
3819.0,105,17,1,12,8,15,67
254.0,62,1,1,89,8,13,67
41.0,168,3,0,7,4,15,67
495.0,373,7,0,82,8,11,67
79.0,52,4,1,67,8,5,100
104.0,69,5,0,34,8,15,67
129.0,684,0,0,39,8,8,67
46.0,168,0,0,40,8,8,67
336.0,907,19,1,55,8,11,50
726.0,112,8,1,38,8,15,67
5888.0,849,48,0,79,3,7,14
403.0,248,10,1,66,3,10,67
8022.0,1280,77,1,126,1,3,67
946.0,649,11,1,70,8,8,67
2437.0,1677,43,1,207,3,13,67
1172.0,2010,41,1,115,3,13,37
599.0,1672,64,1,99,4,13,67
1987.0,2580,35,1,215,8,7,67
142.0,208,3,0,6,8,13,98
1987.0,375,32,0,40,6,9,67
972.0,160,17,0,70,8,8,67
5209.0,1053,74,1,44,4,5,67
15767.0,1916,125,1,120,1,8,19
140.0,77,4,0,2,8,15,97
3052.0,1860,173,1,54,2,3,67
109.0,41,10,0,52,6,15,67
1035.0,267,0,1,65,7,13,87
28898.0,2940,90,1,86,3,3,29
73.0,23,5,0,6,8,8,101
11575.0,405,67,0,87,8,13,67
1736.0,153,10,0,13,8,13,64
2297.0,112,8,0,11,8,15,86
25600.0,1801,104,1,37,3,8,67
4353.0,331,65,1,77,5,9,66
429.0,15,2,0,3,8,15,67
481.0,108,8,0,165,8,13,67
97770.0,2775,166,1,319,3,5,6
13996.0,1944,113,1,108,8,5,25
6851.0,1098,79,1,55,3,10,67
1204.0,302,23,1,19,3,10,85
13233.0,980,170,0,109,4,13,67
8071.0,1014,97,1,93,1,10,51
8894.0,1241,68,1,66,8,13,59
167.0,55,5,1,3,8,10,67
1993.0,867,56,0,55,8,11,54
758.0,127,15,0,74,8,7,67
6176.0,1444,113,1,119,1,8,62
440.0,77,7,0,14,3,13,67
212.0,22,2,0,15,8,11,67
7290.0,1980,120,0,184,5,13,67
173.0,18,12,0,73,8,13,67
6385.0,974,64,0,60,8,14,47
7164.0,1064,63,1,99,3,7,67
8338.0,1500,102,1,209,2,13,17
25803.0,1979,41,0,180,3,5,67
5696.0,766,34,0,77,2,12,67
1217.0,388,27,0,56,3,13,67
1267.0,334,21,0,44,6,13,90
1791.0,1064,80,0,60,8,3,67
26181.0,1795,46,1,88,7,13,46
35317.0,2168,144,1,119,3,4,67
71.0,1,0,0,6,8,15,67
8809.0,1864,70,1,116,3,2,10
193.0,359,3,0,15,8,15,67
4785.0,630,53,1,97,5,9,38
71.0,2197,80,1,89,3,5,67
6377.0,927,47,1,88,6,8,43
9811.0,1397,45,1,91,1,3,22
8363.0,1802,99,1,129,4,6,67
1309.0,16,14,0,65,8,5,67
123.0,42,6,0,4,8,15,67
4178.0,212,24,1,38,8,11,67
1700.0,895,31,1,69,8,13,37
109.0,3,13,0,56,8,15,67
554.0,38,13,1,27,8,13,67
362.0,37,8,0,57,8,9,80
713.0,155,12,1,46,8,10,67
823.0,1080,11,1,20,8,15,67
16419.0,1363,79,1,198,4,5,24
10237.0,301,31,1,4,7,15,83
242.0,36,9,0,27,8,10,67
3971.0,749,47,0,74,3,7,67
1663.0,394,24,1,110,3,13,88
45603.0,2053,127,1,116,1,13,7
946.0,120,12,0,63,6,10,67
12267.0,1323,47,1,176,3,3,67
7978.0,1309,8,0,40,4,13,48
42.0,67,2,0,128,8,13,67
189.0,110,3,0,7,8,13,67
2304.0,577,13,0,103,5,7,67
204.0,170,2,0,57,6,13,91
254.0,1304,79,1,69,1,8,67
1314.0,1148,68,1,154,1,2,22
19537.0,1446,8,1,58,1,8,27
12491.0,330,10,0,72,1,8,75
15676.0,1010,0,1,36,3,3,67
7445.0,2430,15,1,222,4,13,11
298.0,57,4,0,52,8,13,96
3502.0,369,5,0,83,8,8,74
192.0,256,5,0,64,3,8,67
3249.0,365,5,0,110,8,8,52
4064.0,313,3,0,61,3,8,67
20285.0,1980,0,1,129,3,1,67
55.0,711,2,0,31,8,16,67
92.0,156,3,0,112,8,8,67
5499.0,1592,10,0,50,4,5,6
20569.0,1954,11,0,95,3,13,67
2026.0,385,2,0,11,8,8,67
552.0,1592,39,0,90,5,2,67
585.0,210,3,0,60,8,3,67
0.0,1117,167,1,128,2,13,39
226.0,155,2,0,34,8,13,67
284.0,142,7,1,10,8,13,94
7337.0,811,9,1,67,2,5,67
83.0,86,2,0,9,9,15,67
589.0,2370,14,1,162,3,3,33
5051.0,1288,9,0,130,5,6,65
155.0,306,7,1,57,7,13,67
1312.0,188,3,0,147,8,13,67
0.0,895,2,0,187,6,2,64
3631.0,1493,8,1,113,4,8,67
223.0,109,2,0,103,8,12,67
100.0,38,1,0,29,8,13,67
5618.0,739,21,1,101,8,13,67
1501.0,246,13,1,46,2,13,81
2544.0,496,6,1,53,8,9,67
9031.0,2329,19,0,13,4,1,60
1272.0,534,9,0,29,6,9,90
948.0,170,2,0,68,8,14,67
3182.0,935,11,1,119,3,3,67
